Filename,Site,Biotic_Soundtype_Richness,Wind_rain,Anthrophony,Cicadas.Stridulations,ACI,ADI,AEve,BioA,H,M,NDSI,NDSI_Bio,NDSI_Anth,ARic,Ht,year,Season,day,hour,min,sec,time,TOD,TOD_by_Season,mean.rich,mean.rich_Szn
CHATANOP_20170705_120000.wav,CHATANOP,5,0,0,1,0.636293901,0.907971058,0.35056688,0.52580332,0.953934376,0.377655978,0.998825568,0.695381764,0.001661274,0.428756273,0.989445716,2017,Summer,5,12,0,0,05/07/2017 12:00,Day,Summer_Day,4.229166667,5.875
CHATANOP_20170705_193000.wav,CHATANOP,7,0,1,0,0.603278953,0.828631782,0.536802636,0.237593705,0.807580865,0.086491203,0.807140967,0.691735098,0.211967574,0.1462857,0.983992308,2017,Summer,5,19,30,0,05/07/2017 19:30,Dusk,Summer_Dusk,4.229166667,5.875
CHATANOP_20170710_000000.wav,CHATANOP,6,0,1,0,0.606828405,0.566717,0.797380356,0.23793976,0.736351999,0.042199736,0.890727013,0.608026307,0.167707612,0.101459306,0.988738579,2017,Summer,10,0,0,0,10/07/2017 00:00,Night,Summer_Night,4.229166667,5.875
CHATANOP_20170710_053000.wav,CHATANOP,8,0,1,0,0.61488953,0.971194393,0.217149581,0.534408652,0.939028973,0.092633395,0.999071966,0.722524746,0.001385439,0.01099292,0.965673677,2017,Summer,10,5,30,0,10/07/2017 05:30,Dawn,Summer_Dawn,4.229166667,5.875
CHATANOP_20170710_120000.wav,CHATANOP,3,0,1,1,0.6300361,0.958568857,0.22747882,0.563082691,0.944257042,0.25340007,0.998614076,0.69414318,0.002056743,0.347975817,0.988110543,2017,Summer,10,12,0,0,10/07/2017 12:00,Day,Summer_Day,4.229166667,5.875
CHATANOP_20170710_193000.wav,CHATANOP,8,0,0,0,0.608589673,0.749955326,0.63107472,0.263500491,0.724237027,0.060260577,0.87396518,0.728435201,0.138172101,0.292975084,0.990791221,2017,Summer,10,19,30,0,10/07/2017 19:30,Dusk,Summer_Dusk,4.229166667,5.875
CHATANOP_20170715_000000.wav,CHATANOP,5,0,1,0,0.600587426,0.790405609,0.592065064,0.298271021,0.78005452,0.042864972,0.811763012,0.726637523,0.346124784,0.119983928,0.989703564,2017,Summer,15,0,0,0,15/07/2017 00:00,Night,Summer_Night,4.229166667,5.875
CHATANOP_20170715_053000.wav,CHATANOP,7,0,1,0,0.618778787,0.91947117,0.366575756,0.628769762,0.923666078,0.069305115,0.998917716,0.737630538,0.001641266,0.012783335,0.967620136,2017,Summer,15,5,30,0,15/07/2017 05:30,Dawn,Summer_Dawn,4.229166667,5.875
CHATANOP_20170715_120000.wav,CHATANOP,6,0,1,1,0.609511521,0.851255271,0.466930268,0.552359914,0.90854445,0.121935818,0.996087481,0.696243499,0.004806644,0.264674202,0.98734024,2017,Summer,15,12,0,0,15/07/2017 12:00,Day,Summer_Day,4.229166667,5.875
CHATANOP_20170715_193000.wav,CHATANOP,7,0,1,1,0.608836957,0.832167837,0.517681433,0.329924402,0.72505948,0.061736965,0.92829785,0.702819454,0.060979753,0.358406818,0.991620135,2017,Summer,15,19,30,0,15/07/2017 19:30,Dusk,Summer_Dusk,4.229166667,5.875
CHATANOP_20170720_000000.wav,CHATANOP,6,0,1,0,0.601906274,0.633411173,0.746931424,0.311763987,0.74327257,0.039386305,0.722015163,0.539980346,0.549237669,0.058057643,0.986211155,2017,Summer,20,0,0,0,20/07/2017 00:00,Night,Summer_Night,4.229166667,5.875
CHATANOP_20170720_053000.wav,CHATANOP,6,0,1,1,0.604964522,0.975295008,0.199001188,0.520840749,0.944199521,0.075954631,0.998109672,0.747623207,0.002869966,0.03469504,0.974339948,2017,Summer,20,5,30,0,20/07/2017 05:30,Dawn,Summer_Dawn,4.229166667,5.875
CHATANOP_20170720_120000.wav,CHATANOP,5,0,1,1,0.612566405,0.965134231,0.241928199,0.476683171,0.888371219,0.123039826,0.990388232,0.753128694,0.019928167,0.41905726,0.990414368,2017,Summer,20,12,0,0,20/07/2017 12:00,Day,Summer_Day,4.229166667,5.875
CHATANOP_20170720_193000.wav,CHATANOP,5,0,1,1,0.604537242,0.90205372,0.411721175,0.289418373,0.784970571,0.069633057,0.948717678,0.897153644,0.072779659,0.316428641,0.99030323,2017,Summer,20,19,30,0,20/07/2017 19:30,Dusk,Summer_Dusk,4.229166667,5.875
CHATANOP_20180105_000000.wav,CHATANOP,3,1,1,0,0.601452079,0.516957454,0.803073326,0.152212905,0.682178083,0.051485862,0.332432497,0.183954656,0.977268443,0.171051853,0.989595044,2018,Winter,5,0,0,0,05/01/2018 00:00,Night,Winter_Night,4.229166667,3.375
CHATANOP_20180105_070000.wav,CHATANOP,2,1,1,0,0.608921068,0.393892273,0.889251802,0.206847626,0.57598328,0.079069081,0.313916625,0.168841317,0.982210924,0.48135608,0.991967939,2018,Winter,5,7,0,0,05/01/2018 07:00,Dawn,Winter_Dawn,4.229166667,3.375
CHATANOP_20180105_120000.wav,CHATANOP,4,1,1,0,0.623766523,0.577021036,0.75340331,0.334811796,0.715967655,0.105434465,0.922530749,0.801869891,0.261180041,0.320211311,0.988806435,2018,Winter,5,12,0,0,05/01/2018 12:00,Day,Winter_Day,4.229166667,3.375
CHATANOP_20180105_183000.wav,CHATANOP,3,1,1,0,0.610892611,0.1161972,0.983069982,0.070420177,0.596319298,0.0865791,0.306514011,0.169934571,0.99373331,0.305581496,0.989133424,2018,Winter,5,18,30,0,05/01/2018 18:30,Dusk,Winter_Dusk,4.229166667,3.375
CHATANOP_20180110_000000.wav,CHATANOP,3,1,1,0,0.604239492,0.314447346,0.919797838,0.108665598,0.566641805,0.050185914,0.069013979,0.028333807,0.999864225,0.253575378,0.991939305,2018,Winter,10,0,0,0,10/01/2018 00:00,Night,Winter_Night,4.229166667,3.375
CHATANOP_20180110_070000.wav,CHATANOP,0,1,1,0,0.613844881,0.324039867,0.910676973,0.093664861,0.665826821,0.094504075,0.487658463,0.357460391,0.977344051,0.262605321,0.987657664,2018,Winter,10,7,0,0,10/01/2018 07:00,Dawn,Winter_Dawn,4.229166667,3.375
CHATANOP_20180110_120000.wav,CHATANOP,3,1,1,0,0.625189669,0.371545303,0.900224396,0.168876302,0.620610828,0.129547664,0.231946361,0.112805781,0.993219333,0.036962027,0.973410914,2018,Winter,10,12,0,0,10/01/2018 12:00,Day,Winter_Day,4.229166667,3.375
CHATANOP_20180110_183000.wav,CHATANOP,2,1,1,0,0.611504934,0.237025662,0.948367695,0.072845436,0.609990786,0.096991222,0.319980079,0.177380068,0.991608833,0.283681625,0.988070296,2018,Winter,10,18,30,0,10/01/2018 18:30,Dusk,Winter_Dusk,4.229166667,3.375
CHATANOP_20180115_000000.wav,CHATANOP,3,1,1,0,0.604145289,0.274433581,0.938203461,0.126316574,0.508490095,0.040963259,0.221089815,0.106013186,0.992709833,0.220067717,0.994251238,2018,Winter,15,0,0,0,15/01/2018 00:00,Night,Winter_Night,4.229166667,3.375
CHATANOP_20180115_070000.wav,CHATANOP,5,1,1,0,0.618995791,0.599312354,0.735524371,0.256183016,0.63144427,0.06356791,0.861654279,0.795805264,0.367836818,0.365795236,0.991539391,2018,Winter,15,7,0,0,15/01/2018 07:00,Dawn,Winter_Dawn,4.229166667,3.375
CHATANOP_20180115_120000.wav,CHATANOP,5,1,1,0,0.626616178,0.706062684,0.611328495,0.353645987,0.714052408,0.080655965,0.977752187,0.790119576,0.054689946,0.321186259,0.989743011,2018,Winter,15,12,0,0,15/01/2018 12:00,Day,Winter_Day,4.229166667,3.375
CHATANOP_20180115_183000.wav,CHATANOP,5,1,1,0,0.60445145,0.318652308,0.921922354,0.115501415,0.546605964,0.064939311,0.288089277,0.149848908,0.984314727,0.409717701,0.991927798,2018,Winter,15,18,30,0,15/01/2018 18:30,Dusk,Winter_Dusk,4.229166667,3.375
CHATANOP_20180120_000000.wav,CHATANOP,2,1,1,0,0.640782023,0.632666397,0.721720014,0.073599485,0.627958252,0.045948182,0.556283415,0.428497943,0.921678056,0.240016447,0.992757512,2018,Winter,20,0,0,0,20/01/2018 00:00,Night,Winter_Night,4.229166667,3.375
CHATANOP_20180120_070000.wav,CHATANOP,6,1,1,0,0.614405055,0.703896617,0.66828487,0.2339711,0.642860601,0.059498821,0.722594488,0.59883619,0.783587395,0.354505782,0.991784267,2018,Winter,20,7,0,0,20/01/2018 07:00,Dawn,Winter_Dawn,4.229166667,3.375
CHATANOP_20180120_120000.wav,CHATANOP,4,1,1,0,0.612403231,0.165454142,0.958618042,0.132738451,0.550240385,0.071390954,0.604299896,0.468680263,0.849363758,0.37288463,0.991128088,2018,Winter,20,12,0,0,20/01/2018 12:00,Day,Winter_Day,4.229166667,3.375
CHATANOP_20180120_183000.wav,CHATANOP,4,1,1,0,0.604772751,0.205111823,0.960718113,0.226944622,0.522785967,0.070026616,0.304473954,0.162737337,0.986544671,0.442487767,0.99197058,2018,Winter,20,18,30,0,20/01/2018 18:30,Dusk,Winter_Dusk,4.229166667,3.375
GENKAOP_20170405_000000.wav,GENKAOP,3,1,1,0,0.603637263,0.689029144,0.693384609,0.271773078,0.722881763,0.018046137,0.232288039,0.112669776,0.981703892,0.002454499,0.982728484,2017,Spring,5,0,0,0,05/04/2017 00:00,Night,Spring_Night,3.428571429,4.1875
GENKAOP_20170405_060000.wav,GENKAOP,6,0,1,0,0.604461543,0.638674386,0.740641766,0.312549342,0.720266619,0.020127632,0.270644275,0.137179921,0.973679068,0.005450983,0.984281091,2017,Spring,5,6,0,0,05/04/2017 06:00,Dawn,Spring_Dawn,3.428571429,4.1875
GENKAOP_20170405_120000.wav,GENKAOP,1,1,1,0,0.605220217,0.209346567,0.955749612,0.053431922,0.757498056,0.074051037,0.457349606,0.307404823,0.934805284,0.076166744,0.980116294,2017,Spring,5,12,0,0,05/04/2017 12:00,Day,Spring_Day,3.428571429,4.1875
GENKAOP_20170405_190000.wav,GENKAOP,5,1,1,0,0.602907186,0.293181888,0.930525979,0.178027635,0.702419502,0.046231161,0.230930355,0.112629027,0.982542333,0.069286669,0.984880006,2017,Spring,5,19,0,0,05/04/2017 19:00,Dusk,Spring_Dusk,3.428571429,4.1875
GENKAOP_20170410_000000.wav,GENKAOP,3,0,1,0,0.602079541,0.776171609,0.597768035,0.125852364,0.790022418,0.019475777,0.603944636,0.459938421,0.67498675,0.007732298,0.988051982,2017,Spring,10,0,0,0,10/04/2017 00:00,Night,Spring_Night,3.428571429,4.1875
GENKAOP_20170410_060000.wav,GENKAOP,5,1,1,0,0.628404362,0.534600336,0.79960432,0.063727372,0.790615917,0.03551021,0.579765912,0.4625661,0.838031819,0.011861339,0.976797366,2017,Spring,10,6,0,0,10/04/2017 06:00,Dawn,Spring_Dawn,3.428571429,4.1875
GENKAOP_20170410_120000.wav,GENKAOP,1,0,1,0,0.606660185,0.2505138,0.942865286,0.059287483,0.726690686,0.077084127,0.424129693,0.269412044,0.945816837,0.119600178,0.982974651,2017,Spring,10,12,0,0,10/04/2017 12:00,Day,Spring_Day,3.428571429,4.1875
GENKAOP_20170410_190000.wav,GENKAOP,5,0,1,0,0.603393343,0.267461471,0.941438015,0.15656364,0.679283946,0.047412443,0.231535183,0.113503225,0.979667393,0.055192606,0.982959,2017,Spring,10,19,0,0,10/04/2017 19:00,Dusk,Spring_Dusk,3.428571429,4.1875
GENKAOP_20170415_000000.wav,GENKAOP,3,0,1,0,0.602331872,0.723303831,0.65893233,0.298762116,0.714867724,0.024562668,0.228144281,0.110735263,0.982274088,0.008890398,0.983308475,2017,Spring,15,0,0,0,15/04/2017 00:00,Night,Spring_Night,3.428571429,4.1875
GENKAOP_20170415_060000.wav,GENKAOP,7,0,1,0,0.602759152,0.430126942,0.873764055,0.290000397,0.713632289,0.028389843,0.233840716,0.114097604,0.982146291,0.006142479,0.97913611,2017,Spring,15,6,0,0,15/04/2017 06:00,Dawn,Spring_Dawn,3.428571429,4.1875
GENKAOP_20170415_120000.wav,GENKAOP,3,0,1,0,0.604762658,0.357238695,0.905487908,0.108254228,0.683705428,0.067154938,0.225513277,0.108931143,0.982552103,0.134242453,0.984620241,2017,Spring,15,12,0,0,15/04/2017 12:00,Day,Spring_Day,3.428571429,4.1875
GENKAOP_20170415_190000.wav,GENKAOP,5,0,1,0,0.602994661,0.409372784,0.881238198,0.146456259,0.681056199,0.049467373,0.220729975,0.106354353,0.982678175,0.058343586,0.982734862,2017,Spring,15,19,0,0,15/04/2017 19:00,Dusk,Spring_Dusk,3.428571429,4.1875
GENKAOP_20170420_000000.wav,GENKAOP,5,0,1,0,0.602020664,0.762119563,0.622854997,0.248052021,0.754456271,0.021792137,0.512101419,0.333218076,0.803579934,0.010278997,0.986284548,2017,Spring,20,0,0,0,20/04/2017 00:00,Night,Spring_Night,3.428571429,4.1875
GENKAOP_20170420_060000.wav,GENKAOP,6,1,1,0,0.60535984,0.322231188,0.925810819,0.187521367,0.706456303,0.033486288,0.31338709,0.168880671,0.964795013,0.004385706,0.971988679,2017,Spring,20,6,0,0,20/04/2017 06:00,Dawn,Spring_Dawn,3.428571429,4.1875
GENKAOP_20170420_120000.wav,GENKAOP,4,0,1,0,0.603645674,0.383993016,0.89592814,0.111983565,0.710828475,0.056165284,0.226997687,0.10977624,0.983093393,0.104290703,0.9848547,2017,Spring,20,12,0,0,20/04/2017 12:00,Day,Spring_Day,3.428571429,4.1875
GENKAOP_20170420_190000.wav,GENKAOP,5,0,1,0,0.605849362,0.256089836,0.945252589,0.099217253,0.684076097,0.056990651,0.240432186,0.118885126,0.983783825,0.063053859,0.981138646,2017,Spring,20,19,0,0,20/04/2017 19:00,Dusk,Spring_Dusk,3.428571429,4.1875
GENKAOP_20170705_000000.wav,GENKAOP,4,0,1,0,0.606806536,0.756473745,0.609190089,0.349178455,0.779226437,0.044463385,0.965855736,0.421968575,0.038787133,0.154921303,0.990825378,2017,Summer,5,0,0,0,05/07/2017 00:00,Night,Summer_Night,3.428571429,4.1875
GENKAOP_20170705_053000.wav,GENKAOP,6,0,1,1,0.614950089,0.818119269,0.511981239,0.378674474,0.828843874,0.242616517,0.99846392,0.606549617,0.001589757,0.611088858,0.991621442,2017,Summer,5,5,30,0,05/07/2017 05:30,Dawn,Summer_Dawn,3.428571429,4.1875
GENKAOP_20170705_120000.wav,GENKAOP,2,0,1,1,0.59080877,0.793673406,0.53511369,0.439577499,0.847882823,0.169636282,0.992125097,0.641085228,0.009013404,0.548761381,0.991437977,2017,Summer,5,12,0,0,05/07/2017 12:00,Day,Summer_Day,3.428571429,4.1875
